Company,MAE,Actual_Total,Forecast_Total
ID10,215726.17673032914,214411.82974999992,-34806.785664349576
KR10,2238363.3680215003,328973.97725,-177719.43792921398
MY10,307134.4791814065,-224589.05727999995,263831.75545372575
PH10,202288.3029938339,259061.39856999996,-39548.137886683864
SS10,186704.59696526936,-67264.7149,679553.6729610774
TH10,413780.7979463058,-194475.71774,132632.11791864393
TW10,1097951.5428211978,-136688.1087600002,4255118.062524791
VN20,311997.3105889778,-300833.35130000004,-433885.1247481867
